Full VQE parameter scan: N=8, 30x30
  time AP: 0.0751s | E = -10.483121
  time PM: 0.6598s | E = -10.482748
  time FM: 0.6679s | E = -7.448290
  time AP: 0.1431s | E = -11.034496
  time PM: 0.7726s | E = -11.034515
  time FM: 0.6781s | E = -7.448287
  time AP: 0.0709s | E = -11.034496
  time PM: 0.6370s | E = -11.034496
  time FM: 0.7916s | E = -7.448293
  time AP: 0.1271s | E = -11.586232
  time PM: 0.9211s | E = -11.586258
  time FM: 1.2114s | E = -7.448279
  time AP: 0.4672s | E = -11.586232
  time PM: 0.7677s | E = -11.586198
  time FM: 0.6867s | E = -7.448286
  time AP: 0.0890s | E = -12.137944
  time PM: 0.6296s | E = -12.137968
  time FM: 0.8408s | E = -7.448295
  time AP: 0.0912s | E = -12.137944
  time PM: 1.6873s | E = -12.137977
  time FM: 0.7283s | E = -7.448290
  time AP: 0.1065s | E = -12.689658
  time PM: 0.6632s | E = -12.689667
  time FM: 0.6595s | E = -7.448291
  time AP: 0.0805s | E = -12.689658
  time PM: 0.8149s | E = -12.689675
  time FM: 0.8440s | E = -7.448286
  time AP: 0.1059s | E = -13.241392
  time PM: 0.7688s | E = -13.241390
  time FM: 0.6815s | E = -7.448288
  time AP: 0.0830s | E = -13.241392
  time PM: 0.6521s | E = -13.241430
  time FM: 0.6593s | E = -7.448287
  time AP: 0.0713s | E = -13.793121
  time PM: 0.6214s | E = -13.793143
  time FM: 0.6771s | E = -7.448283
  time AP: 0.0855s | E = -13.793121
  time PM: 0.6661s | E = -13.793133
  time FM: 0.6601s | E = -7.448291
  time AP: 0.0757s | E = -14.344841
  time PM: 0.6591s | E = -14.344835
  time FM: 0.8451s | E = -7.448290
  time AP: 0.1902s | E = -14.344841
  time PM: 1.8329s | E = -14.344879
  time FM: 2.2360s | E = -7.448289
  time AP: 0.1761s | E = -14.896591
  time PM: 0.7424s | E = -14.896608
  time FM: 0.7013s | E = -7.448286
  time AP: 0.0742s | E = -14.896591
  time PM: 0.6514s | E = -14.896564
  time FM: 0.9041s | E = -7.448294
  time AP: 0.3930s | E = -15.448290
  time PM: 0.8001s | E = -15.448299
  time FM: 0.6659s | E = -7.448270
  time AP: 0.0715s | E = -15.448290
  time PM: 0.6795s | E = -15.448331
  time FM: 7.5549s | E = -7.448297
  time AP: 0.4199s | E = -16.000006
  time PM: 2.5753s | E = -16.000061
  time FM: 2.6545s | E = -7.448281
  time AP: 0.1931s | E = -16.000006
  time PM: 1.0959s | E = -16.000078
  kappa column 3/30 complete
  time FM: 1.9947s | E = -7.172428
  time AP: 0.1428s | E = -0.827586
  time PM: 1.1618s | E = -7.172442
  time FM: 2.4150s | E = -7.172429
  time AP: 0.2998s | E = -0.827586
  time PM: 1.0973s | E = -3.999997
  time FM: 1.7262s | E = -7.172416
  time AP: 0.9654s | E = -0.919542
  time PM: 2.0212s | E = -0.551723
  time FM: 2.1380s | E = -7.172418
  time AP: 0.2371s | E = -0.919542
  time PM: 3.6550s | E = -0.551719
  time FM: 3.3921s | E = -7.172421
  time AP: 0.1362s | E = -7.214842
  time PM: 4.1929s | E = -1.103448
  time FM: 0.9132s | E = -7.172435
  time AP: 0.1218s | E = -7.214842
  time PM: 3.9105s | E = -1.103441
  time FM: 0.8060s | E = -7.172437
  time AP: 0.0913s | E = -7.267633
  time PM: 0.8163s | E = -1.655172
  time FM: 0.9077s | E = -7.172424
  time AP: 0.0778s | E = -7.267633
  time PM: 1.0826s | E = -1.655151
  time FM: 1.1209s | E = -7.172426
  time AP: 0.1681s | E = -7.341548
  time PM: 1.0794s | E = -2.206897
  time FM: 1.0605s | E = -7.172429
  time AP: 0.0961s | E = -7.341548
  time PM: 0.7616s | E = -2.206889
  time FM: 0.9308s | E = -7.172433
  time AP: 0.1961s | E = -7.437243
  time PM: 0.7930s | E = -2.758616
  time FM: 0.6838s | E = -7.172421
  time AP: 0.0716s | E = -7.437243
  time PM: 0.7745s | E = -2.758617
  time FM: 0.7238s | E = -7.172428
  time AP: 0.0873s | E = -7.553318
  time PM: 0.7193s | E = -3.310360
  time FM: 0.7148s | E = -7.172432
  time AP: 0.1007s | E = -7.553318
  time PM: 1.2880s | E = -3.310342
  time FM: 1.2146s | E = -7.172435
  time AP: 0.1018s | E = -7.689781
  time PM: 1.0674s | E = -3.862063
  time FM: 1.4211s | E = -7.172429
  time AP: 0.6168s | E = -7.689781
  time PM: 1.2096s | E = -3.862059
  time FM: 1.1595s | E = -7.172432
  time AP: 0.1254s | E = -7.848847
  time PM: 1.2055s | E = -4.413811
  time FM: 1.2852s | E = -7.172419
  time AP: 0.1069s | E = -7.848847
  time PM: 0.7567s | E = -4.413719
  time FM: 0.7051s | E = -7.172427
  time AP: 0.0697s | E = -8.031067
  time PM: 0.6290s | E = -4.965523
  time FM: 0.6562s | E = -7.172419
  time AP: 0.0894s | E = -8.031067
  time PM: 0.6982s | E = -4.965516
  time FM: 0.7263s | E = -7.172423
  time AP: 0.0798s | E = -8.152958
  time PM: 0.6335s | E = -5.517239
  time FM: 0.6324s | E = -7.172437
  time AP: 0.0741s | E = -8.152958
  time PM: 0.7636s | E = -5.517243
  time FM: 0.7021s | E = -7.172432
  time AP: 0.0669s | E = -8.455924
  time PM: 0.6390s | E = -6.068989
  time FM: 0.6623s | E = -7.172422
  time AP: 0.0680s | E = -8.455924
